(c) Die Bundeswahlleiterin, Wiesbaden 2025;
Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);
;
Bundestagswahl 2025;
Vorläufiges Ergebnis;
Nr;Gebiet;gehört zu;Gewählt;Wahlberechtigte;;;;Wählende;;;;Ungültige Stimmen;;;;Gültige Stimmen;;;;Sozialdemokratische Partei Deutschlands;;;;Christlich Demokratische Union Deutschlands;;;;BÜNDNIS 90/DIE GRÜNEN;;;;Freie Demokratische Partei;;;;Alternative für Deutschland;;;;Christlich-Soziale Union in Bayern e.V.;;;;Die Linke;;;;FREIE WÄHLER;;;;PARTEI MENSCH UMWELT TIERSCHUTZ;;;;Basisdemokratische Partei Deutschland;;;;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;;;;Die Gerechtigkeitspartei – Team Todenhöfer;;;;Piratenpartei Deutschland;;;;Volt Deutschland;;;;Ökologisch-Demokratische Partei - Die Naturschutzpartei;;;;Südschleswigscher Wählerverband;;;;Partei für Verjüngungsforschung;;;;Partei der Humanisten - Fakten, Freiheit, Fortschritt;;;;Bündnis C - Christen für Deutschland;;;;Bayernpartei;;;;Marxistisch-Leninistische Partei Deutschlands;;;;Menschliche Welt - für das Wohl und Glücklichsein aller;;;;Partei des Fortschritts;;;;Sozialistische Gleichheitspartei, Vierte Internationale;;;;Bürgerrechtsbewegung Solidarität;;;;BÜNDNIS DEUTSCHLAND;;;;Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit;;;;MERA25 - Gemeinsam für Europäische Unabhängigkeit;;;;WerteUnion;;;;Übrige;;;;
110;Viersen;05;Christlich Demokratische Union Deutschlands;223737;227166;223737;227166;185888;175085;185888;175085;1736;1740;1166;1333;184152;173345;184722;173752;38071;47806;33644;46375;73676;62123;64228;52896;19438;24394;21085;25673;7317;15140;10039;22281;29425;10312;29312;10357;;;;;11337;5558;11875;5203;2510;2253;1170;1327;;;2675;2618;;1940;439;1808;;3819;1137;2140;;;287;582;;;;632;2378;;1147;377;;;;183;;;;;;;;197;;;;133;;;;93;;;;;;;26;31;;;;;;;349;54;;;;12;;;;;;;285;;;;6843;;;;55;;;;126;;;0;;780;
111;Kleve;05;Christlich Demokratische Union Deutschlands;223650;225463;223650;225463;182410;171093;182410;171093;1387;1628;1094;1326;181023;169465;181316;169767;39197;48142;34004;47837;74624;63701;66213;54793;16447;23477;18986;23587;6098;14821;8100;19542;28974;9788;29097;9632;;;;;10755;4235;11625;4728;2429;3409;1338;1488;;;2422;2386;;1892;443;1628;;;891;1438;;;252;297;;;;605;2499;;1145;396;;;;115;;;;;;;;224;;;;121;;;;60;;;;;;;32;28;;;;;;;328;60;;;;15;;;;;;;247;;;;6060;;;;43;;;;90;;;0;;787;
112;Wesel I;05;Christlich Demokratische Union Deutschlands;204087;206270;204087;206270;170462;160625;170462;160625;1425;1460;970;1128;169037;159165;169492;159497;47432;54488;39286;53277;58855;47448;53363;42544;13787;19928;16092;20629;6123;14452;7204;17302;29375;10842;29405;10994;;;;;10274;4598;11150;5103;2155;1376;935;966;;;2533;2468;;1999;316;1444;;3907;1091;2079;;;261;629;;;;515;;;738;209;;;;92;;;;;;;;205;;;;84;;;;92;;;;;;127;63;65;;;;;;;278;52;;;;16;;;;;1036;;388;;;;6263;;;;38;;;;88;;;0;;732;
113;Krefeld II – Wesel II;05;Christlich Demokratische Union Deutschlands;173314;175852;173314;175852;140198;131664;140198;131664;1267;1378;841;1048;138931;130286;139357;130616;42077;45852;31190;41476;44337;37033;40218;32316;12057;17398;15317;19539;4955;10954;6702;14899;23341;9077;23133;9189;;;;;8553;4100;11212;4703;1829;1186;729;818;;;1927;1915;;1698;277;1362;;2863;867;1507;;;259;969;;;;506;1782;;805;232;;;;70;;;;;;;;143;;;;113;;;;88;;;;;;125;65;78;;;;;;;221;41;;;;16;;;;;;;155;;;;6128;;;;71;;;;81;;;0;;636;
114;Duisburg I;05;Sozialdemokratische Partei Deutschlands;159961;163394;159961;163394;127170;118600;127170;118600;1297;1320;862;1006;125873;117280;126308;117594;49116;47314;32468;41308;27748;24299;28994;23166;9830;16777;13470;17912;3081;8203;4228;10593;22224;11101;21867;9802;;;;;10805;5500;13149;5580;1378;1470;582;780;;;2083;2135;;1395;267;1081;;;882;1482;;;455;1603;;;;487;1389;;755;308;;;;79;;;;;;;;156;;;;128;;;;75;;;;;302;489;118;148;;;;;;;260;35;;;;22;;;;;;;153;;;;6412;;;;102;;;;63;;;732;;714;
115;Duisburg II;05;Sozialdemokratische Partei Deutschlands;152391;155265;152391;155265;111932;98339;111932;98339;1413;1530;1093;1173;110519;96809;110839;97166;36554;38162;27970;35842;21964;19404;21710;18168;7708;10518;7478;10287;2402;6901;2954;7913;29325;13361;27232;11834;;;;;10072;4889;12257;4508;1575;1263;543;674;;;1905;2022;;1007;199;755;;;659;1235;;;502;1980;;;;379;;;401;200;;;;56;;;;;;;;164;;;;81;;;;73;;;;;359;313;121;172;;;;;;;166;38;;;;15;;;;;;;155;;;;6369;;;;96;;;;122;;560;991;;770;
116;Oberhausen – Wesel III;05;Sozialdemokratische Partei Deutschlands;193877;199156;193877;199156;155814;145232;155814;145232;1508;1478;1000;1216;154306;143754;154814;144016;48435;55790;38973;53034;41526;32277;38608;30770;12639;17171;13760;17945;4456;10132;5247;13573;32461;13601;31566;13099;;;;;12057;4908;12769;5613;;1378;561;847;;;2562;2473;;1434;273;1064;;6464;1082;2199;2091;;564;1113;;;;515;;;734;357;;;;100;;;;;;;;201;;;;87;;;;74;;;;;641;145;99;71;;;;;;;304;45;;;;20;;;;;;;230;;;;7330;;;;73;;;;79;;;454;;816;
117;Mülheim – Essen I;05;Sozialdemokratische Partei Deutschlands;177448;182895;177448;182895;145635;139658;145635;139658;1279;1503;779;1069;144356;138155;144856;138589;46990;50168;34203;46084;41764;33090;40688;32698;13280;19547;15927;20232;4958;11884;6189;15188;25140;11704;24695;11135;;;;;9854;3663;11360;4494;2370;1105;730;677;;;2090;2126;;1584;249;1224;;2870;882;1613;;;289;1080;;;;450;;;770;338;;;;81;;;;;;;;186;;;;98;;;;87;;;;;;158;81;72;;;;;;;219;34;;;;21;;;;;;;148;;;;6199;;;;57;;;;80;;;2382;;671;
118;Essen II;05;Sozialdemokratische Partei Deutschlands;152295;156298;152295;156298;114166;105472;114166;105472;1243;1274;846;1063;112923;104198;113320;104409;34227;39410;26237;35363;27842;23735;25277;21039;9316;12647;10174;13971;2683;6976;3360;9531;26058;12015;24911;11521;;;;;10655;4325;12072;4525;1681;1202;529;639;;;1871;1924;;1108;161;840;;2414;817;1421;;;329;1718;;;;349;;;707;300;;;;57;;;;;;;;155;;;;95;;;;64;;;;;461;197;158;142;;;;;;;181;35;;;;16;;;;;;;232;;;;6195;;;;66;;;;43;;;169;;704;
119;Essen III;05;Christlich Demokratische Union Deutschlands;186492;190335;186492;190335;157665;152860;157665;152860;1399;1013;672;797;156266;151847;156993;152063;38546;45612;33184;42629;55806;46635;46387;37053;24617;28745;25317;30764;4835;10871;7710;17995;18664;8225;19130;8398;;;;;11667;5030;14178;6117;1751;1685;513;845;;;1840;2005;;1695;218;1521;;2931;990;1718;;;209;852;;;;443;;;1287;504;;;;89;;;;;;;;129;;;;137;;;;78;;;;;380;109;105;64;;;;;;;265;40;;;;15;;;;;;;125;;;;5416;;;;60;;;;59;;;309;;667;
120;Recklinghausen I;05;Sozialdemokratische Partei Deutschlands;161611;165193;161611;165193;129041;121640;129041;121640;999;1121;731;903;128042;120519;128310;120737;42357;49437;29886;42552;36873;30845;35131;27988;8687;12833;12447;15180;3278;8481;4581;11989;25911;11087;25874;10927;;;;;7544;3605;9622;4239;1096;;559;594;;;1945;1961;;1282;260;966;2074;2722;875;1526;;;275;913;;;;473;;;617;242;;;;60;;;;;;;;164;;;;72;;;;69;;;;;222;128;80;87;;;;;;;208;42;;;;16;;;;;;;169;;;;5656;;;;55;;;;70;;;99;;677;
121;Recklinghausen II;05;Christlich Demokratische Union Deutschlands;182424;186413;182424;186413;147467;137841;147467;137841;1313;1467;885;1103;146154;136374;146582;136738;42454;51050;34276;48563;46217;38325;42174;33610;10573;14836;12831;15627;3418;11283;5171;13571;30367;13108;30725;12522;;;;;8501;3881;9722;4084;1891;;790;634;;;2277;2368;;;261;1093;;3509;741;1555;;;315;1094;;;;548;;;645;202;;;;72;;;;;;;;217;;;;79;;;;62;;;;;357;215;101;81;;;;;;;244;44;;;;10;;;;;644;;286;;;;5870;;;;74;;;;79;;1732;167;;702;
122;Gelsenkirchen;05;Sozialdemokratische Partei Deutschlands;164673;168496;164673;168496;122676;112317;122676;112317;1223;1233;900;1033;121453;111084;121776;111284;38118;44965;29342;41326;28051;21954;27665;22091;7379;11286;7944;11170;4038;9014;3682;9721;31302;15555;30032;14204;;;;;10246;3559;11485;3853;1720;1054;626;723;;;2359;2572;;1118;191;775;;1904;685;1245;;;442;1753;;;;394;;;444;186;;;;51;;;;;;;;176;;;;69;;;;55;;;;;599;356;239;222;;;;;;;167;22;;;;13;;;;;;;142;;;;6174;;;;100;;;;57;;;319;;663;
123;Steinfurt I – Borken I;05;Christlich Demokratische Union Deutschlands;201685;202388;201685;202388;168635;156894;168635;156894;1067;1176;886;975;167568;155718;167749;155919;38036;44047;31173;44788;70063;62322;65098;52625;15800;18743;17571;20525;5775;14515;7070;17783;25233;8482;24879;8385;;;;;10028;3699;10636;4469;2633;1473;1122;937;;;1809;1510;;;324;1050;;2437;836;1354;;;206;432;;;;521;;;949;492;;;;84;;;;;;;;137;;;;95;;;;60;;;;;;;26;19;;;;;;;326;53;;;;15;;;;;;;167;;;;5420;;;;74;;;;63;;;0;;585;
124;Bottrop – Recklinghausen III;05;Christlich Demokratische Union Deutschlands;195336;199344;195336;199344;157954;148734;157954;148734;1335;1378;984;1111;156619;147356;156970;147623;46277;57560;36279;51637;49624;39834;45951;36814;10249;15144;13164;16434;4185;11352;5422;14647;32869;14075;32770;13899;;;;;8927;3887;10512;4484;1810;;864;661;;;2471;2536;;1373;236;1048;2426;3283;955;1757;;;311;1246;;;;526;;;661;257;;;;200;;;;;;;;200;;;;85;;;;31;;;;;252;108;97;78;;;;;;;248;50;;;;17;;;;;;;215;;;;6688;;;;49;;;;77;;;740;;1016;
125;Borken II;05;Christlich Demokratische Union Deutschlands;200973;201103;200973;201103;172539;162159;172539;162159;1213;1260;858;883;171326;160899;171681;161276;33511;40851;29835;42303;82003;70334;72746;59102;16486;20028;18302;21738;5042;13404;7571;19081;22179;7909;22829;7724;;;;;8743;3928;9358;3914;3362;1650;1355;1056;;;1686;1517;;;312;1219;;2795;779;1324;;;195;396;;;;486;;;971;311;;;;116;;;;;;;;163;;;;78;;;;68;;;;;;;36;22;;;;;;;346;45;;;;9;;;;;;;171;;;;5065;;;;44;;;;80;;;0;;604;
126;Coesfeld – Steinfurt II;05;Christlich Demokratische Union Deutschlands;194072;194695;194072;194695;169789;161064;169789;161064;1264;1118;868;882;168525;159946;168921;160182;34151;40145;30231;42647;76817;65402;67890;55230;21570;27069;22841;25506;5410;12409;7231;17927;20523;7241;21275;7339;;;;;7708;4242;9221;4093;;1858;766;998;;;1664;1595;;1580;271;1184;;;776;1348;;;177;262;;;;580;2346;;1164;408;;;;101;;;;;;;;179;;;;83;;;;51;;;;;;;18;8;;;;;;;346;42;;;;5;;;;;;;164;;;;4776;;;;27;;;;83;;;0;;596;
127;Steinfurt III;05;Christlich Demokratische Union Deutschlands;194165;195513;194165;195513;165587;155635;165587;155635;1124;1292;908;1103;164463;154343;164679;154532;41395;48068;36478;50555;62252;52445;54548;42528;19383;23978;19903;23996;4874;11394;6572;16113;25482;8785;24959;9253;;;;;9868;4611;10611;4723;;986;798;813;;;1783;1504;;1281;328;1241;;2062;860;1446;;;281;460;;;;482;;;997;401;;;;97;;;;;;;;128;;;;94;;;;69;;;;;;;22;29;;;;;;;267;39;;;;15;;;;;;;174;;;;5967;;;;45;;;;86;;1209;733;;546;
128;Münster;05;BÜNDNIS 90/DIE GRÜNEN;237654;233953;237654;233953;208022;196276;208022;196276;1207;981;799;820;206815;195295;207223;195456;42553;47047;37437;45844;58996;51096;53313;43790;64529;63160;55149;60036;6779;13038;9629;20786;13426;5234;14210;5603;;;;;14083;7078;25927;9746;;966;408;691;;;1361;1326;;1582;207;1409;2642;2283;1051;1684;;;160;774;;;;479;3807;2505;2237;1812;;897;;422;;;;;;;;116;;;;205;;;;42;;;;;;;26;12;;;;;;;303;52;;;;22;;;;;;;128;;;;5525;;;;93;;;;59;;;409;;605;
129;Warendorf;05;Christlich Demokratische Union Deutschlands;207690;208754;207690;208754;175965;165808;175965;165808;1440;1443;1037;1186;174525;164365;174928;164622;36284;50685;32533;47648;72681;59631;64092;51722;18940;21245;19715;23309;5119;12768;7133;18193;27935;10211;27955;10533;;;;;9798;4074;10946;4525;3768;;1354;1014;;;1796;1729;;1773;358;1518;;2772;825;1553;;;251;635;;;;535;;;990;351;;497;;200;;;;;;;;179;;;;108;;;;113;;;;;;;28;13;;;;;;;307;54;;;;13;;;;;;;208;;;;6288;;;;61;;;;88;;;709;;677;
130;Gütersloh I;05;Christlich Demokratische Union Deutschlands;232757;234177;232757;234177;192682;179726;192682;179726;1780;1604;1311;1378;190902;178122;191371;178348;40230;45878;34663;47371;79377;71185;63908;52421;17265;22851;22189;28308;5941;13507;8477;21211;32668;12812;35110;13299;;;;;10489;4284;12240;5173;2493;2083;1125;1441;;;1908;1896;;2067;423;2010;;3149;956;1851;;;325;750;;;;613;1966;;1229;378;;;;147;;;;;;;;219;;;;97;;;;272;;;;;;;30;21;;;;;;;318;50;;;;8;;;;;;;230;;;;8059;;;;54;;;;127;;473;306;;812;
131;Bielefeld – Gütersloh II;05;Sozialdemokratische Partei Deutschlands;240475;243059;240475;243059;197039;185345;197039;185345;1643;1481;1148;1182;195396;183864;195891;184163;53131;55234;39841;50009;50740;40928;45716;37355;31273;40015;32373;40161;5930;17793;8168;20658;27994;12294;28142;12448;;;;;19803;9905;25810;11462;;;516;697;;;1915;1872;;2655;408;2274;3095;3966;1364;2324;1548;;598;1591;;;;683;1882;921;1300;720;;;;197;;;;;;;;219;;;;156;;;;336;;;;;;153;60;88;;;;;;;327;77;;;;25;;;;;;;210;;;;8921;;;;98;;;;124;;;0;;811;
132;Herford – Minden-Lübbecke II;05;Christlich Demokratische Union Deutschlands;223060;226894;223060;226894;181749;170464;181749;170464;1661;1646;1223;1408;180088;168818;180526;169056;52574;61554;38800;53359;54251;45138;50128;39769;12898;18090;17508;22732;5867;14021;7448;19884;38341;15855;38431;16144;;;;;10738;5332;12854;6038;2222;1967;1122;1352;;;2100;2181;;2187;447;2226;2762;3440;1132;2003;;;276;760;;;;565;;;769;304;;;;72;;;;;;;;149;;;;117;;;;501;;;;;;;38;37;;;;;;;299;53;;;;15;;;;;;;247;;;;8701;;;;40;;435;;186;;;1234;;795;
133;Minden-Lübbecke I;05;Christlich Demokratische Union Deutschlands;199147;201888;199147;201888;163424;152935;163424;152935;1744;1419;1214;1363;161680;151516;162210;151572;39931;58168;35923;49351;51970;39679;44594;35814;15009;15886;15379;19762;5431;12494;6785;17486;35399;13445;35282;13892;;;;;9057;3940;10761;4857;2975;2098;1312;1378;;;1772;1838;;1974;457;2050;;2648;976;1743;;;229;394;;;;542;1246;;636;226;;;;102;;;;;;;;171;;;;132;;1184;;1050;;;;;;;25;23;;;;;;;301;45;;;;13;;;;;;;244;;;;7239;;;;37;;662;;258;;;0;;703;
134;Lippe I;05;Christlich Demokratische Union Deutschlands;221602;224415;221602;224415;182679;172402;182679;172402;1922;1897;1324;1531;180757;170505;181355;170871;42552;52359;37926;53130;56640;44650;49204;39001;21911;26932;19245;23276;5474;16648;7713;20221;39426;16221;39517;16789;;;;;10896;5283;12324;6414;3858;2171;1440;1348;;;2255;2216;;2936;575;2559;;3070;1058;1781;;;312;520;;;;637;;;825;289;;;;154;;;;;;;;190;;;;136;;;;1244;;;;;;;34;25;;;;;;;323;59;;;;14;;;;;;;244;;;;8070;;;;51;;;;239;;;235;;868;
135;Höxter – Gütersloh III – Lippe II;05;Christlich Demokratische Union Deutschlands;169491;172435;169491;172435;141965;134346;141965;134346;1581;1416;1195;1258;140384;132930;140770;133088;26204;37210;23930;36253;60580;53294;51273;43265;10481;12685;11736;14717;4389;9462;6076;15488;28853;11244;29064;11533;;;;;7395;3345;7904;3762;2482;1529;1073;1024;;;1666;1553;;1732;399;1636;;2429;695;1367;;;218;335;;;;566;;;520;183;;;;186;;;;;;;;172;;;;91;;;;300;;;;;;;16;10;;;;;;;242;40;;;;6;;;;;;;243;;;;5526;;;;29;;;;160;;;0;;601;
136;Paderborn;05;Christlich Demokratische Union Deutschlands;231585;231534;231585;231534;192379;178377;192379;178377;1503;1540;1107;1395;190876;176837;191272;176982;29105;33513;26305;39089;86833;84669;71383;58419;20144;22926;21998;26981;4528;9845;8049;21877;34924;13152;36232;14360;;;;;11950;5532;13551;5858;;1443;667;1137;;;1867;1863;;2298;510;2195;3392;3459;1170;1925;;;285;523;;;;600;;;979;495;;;;134;;;;;;;;191;;;;148;;;;310;;;;;;;27;28;;;;;;;280;62;;;;22;;;;;;;226;;;;7567;;;;41;;;;135;;;0;;765;
137;Hagen – Ennepe-Ruhr-Kreis I;05;Christlich Demokratische Union Deutschlands;195955;201594;195955;201594;153869;144751;153869;144751;1523;1651;1000;1142;152346;143100;152869;143609;39055;47581;32724;47400;44053;37718;43380;34210;12544;17954;13448;17237;5190;13531;5897;16179;32562;14419;31913;13760;;;;;9025;4552;11933;4857;1780;2122;779;1031;;;2363;2392;;1399;302;1200;;2830;804;1591;1425;;631;1448;;;;573;;;672;235;;;;99;;;;;;;;194;;;;110;;;;169;;;;;231;185;89;76;;;;;;;233;56;;;;9;;;;;;;225;;6481;;7316;;;;55;;;;105;;;809;;783;
138;Ennepe-Ruhr-Kreis II;05;Christlich Demokratische Union Deutschlands;170960;175283;170960;175283;142860;136706;142860;136706;1182;1252;819;1006;141678;135454;142041;135700;42576;47993;33730;45664;43774;33357;38804;29855;14587;21734;17813;21941;4263;11530;5787;14432;23490;9731;23813;9654;;;;;8617;3715;10659;5029;1405;1466;673;843;;;2080;2085;;1750;312;1485;2127;2558;949;1623;;;236;660;;1434;;804;;;779;278;;;;143;;;;;;;;186;;;;96;;;;104;;;;;256;186;120;105;;;;;;;250;37;;;;11;;;;;583;;242;;;;5687;;;;41;;;;66;;;0;;665;
139;Bochum I;05;Sozialdemokratische Partei Deutschlands;200128;202393;200128;202393;163515;154691;163515;154691;1377;2624;872;1103;162138;152067;162643;153588;53007;58235;39363;50162;39934;32962;38267;29811;22181;28288;24224;30795;4681;13657;5942;14583;22797;;22483;10232;;;;;15274;9361;19652;8225;;;477;636;;;2158;2079;;3846;251;1222;2795;4700;1078;1914;;;339;1303;;;;531;;;1172;519;;;;135;;;;;;;;195;;488;;189;;;;90;;;;;419;530;132;100;;;;;;;269;39;;;;12;;;;;1050;;353;;;;6344;;;;72;;;;67;;;0;;816;
140;Herne – Bochum II;05;Sozialdemokratische Partei Deutschlands;170434;173939;170434;173939;132194;123045;132194;123045;1513;1535;1031;1204;130681;121510;131163;121841;43832;52792;33909;46578;31032;24027;29840;23164;11111;14262;11719;15383;2948;8455;3893;10623;28088;11863;27453;11882;;;;;10878;4667;12576;5029;;1423;484;818;;;2327;2357;;1251;229;927;;2550;792;1467;;;292;1395;;;;582;1267;;708;273;;;;76;;;;;;;;169;;;;109;;;;68;;;;;366;220;148;124;;;;;;;245;49;;;;11;;;;;1159;;333;;;;6076;;;;61;;;;78;;;0;;757;
141;Dortmund I;05;Sozialdemokratische Partei Deutschlands;203655;206727;203655;206727;165438;155814;165438;155814;1351;1098;943;940;164087;154716;164495;154874;50260;51037;37861;50117;38929;30051;36346;27797;22994;26308;25180;31867;4857;10416;5913;14550;26058;10577;25853;10746;;;;;15047;5908;19459;7566;;935;476;758;;3097;2425;2661;;1226;292;1206;3053;13361;1376;3451;;;346;1445;;;;680;1889;660;1135;557;;;;111;;;;;;;;180;;;;144;;;;57;;;;;401;151;122;84;;;;;;;258;38;;;;36;;;;;;;199;;;;7075;;;;92;;;;87;;599;989;;823;
142;Dortmund II;05;Sozialdemokratische Partei Deutschlands;195508;199317;195508;199317;154308;143855;154308;143855;1537;1298;1018;1065;152771;142557;153290;142790;49485;55695;37510;51080;37960;28897;36026;27650;15742;21028;17291;21714;4047;10270;5405;13629;28240;11816;27597;11290;;;;;13794;5823;15577;6361;;1318;491;839;;3589;2642;2943;;;330;1079;3503;3446;1247;2426;;;368;1516;;;;626;;425;852;354;;;;79;;;;;;;;191;;;;85;;;;65;;;;;;139;80;60;;;;;;;226;37;;;;21;;;;;;;176;;;;7330;;;;78;;;;64;;;111;;745;
143;Unna I;05;Sozialdemokratische Partei Deutschlands;190511;194493;190511;194493;157471;148083;157471;148083;1412;1322;976;1147;156059;146761;156495;146936;49685;59869;38636;53490;46506;36810;42844;31995;14058;20340;16275;20022;3973;9137;5436;15286;29075;11736;29411;11428;;;;;9491;4731;11269;5154;;1967;716;1088;;;2489;2562;;1451;289;1151;;;923;1740;;;245;823;;;;534;1948;;948;331;;;;72;;;;;;;;193;;;;107;;;;89;;;;;;185;54;64;;;;;;;229;45;;;;11;;;;;1323;;359;;;;6254;;;;45;;;;73;;;535;;751;
144;Hamm – Unna II;05;Sozialdemokratische Partei Deutschlands;227725;231226;227725;231226;181960;168760;181960;168760;1718;1708;1176;1332;180242;167052;180784;167428;58098;67774;41847;59227;54188;44266;51262;40444;11585;16958;14776;19149;4810;12058;6099;16764;38695;15562;38096;15497;;;;;12866;6285;13545;5694;;2610;741;1242;;;2768;2680;;1539;325;1164;;;945;1574;;;512;1406;;;;640;;;866;372;;;;99;;;;;;;;264;;;;113;;;;110;;;;;;;45;23;;;;;;;298;58;;;;12;;;;;;;278;;;;8203;;;;97;;;;81;;;0;;896;
145;Soest;05;Christlich Demokratische Union Deutschlands;229384;231811;229384;231811;190495;179003;190495;179003;1479;1554;1030;1174;189016;177449;189465;177829;42543;54614;34834;51061;70482;58791;66360;51697;18136;22154;19040;24089;7447;17826;7681;21005;36667;13992;35823;14206;;;;;11204;5548;11577;5520;2537;2017;997;1176;;;2273;2260;;2507;523;2038;;;1013;1724;;;270;495;;;;666;;;908;327;;;;118;;;;;;;;246;;;;121;;;;159;;;;;;;35;12;;;;;;;352;73;;;;13;;;;;;;244;;;;7393;;;;46;;;;96;;;0;;823;
146;Hochsauerlandkreis;05;Christlich Demokratische Union Deutschlands;196716;200496;196716;200496;165047;156518;165047;156518;1047;1101;865;1024;164000;155417;164182;155494;35079;50056;26873;44640;78260;62810;71615;52017;10025;12478;12026;15473;4182;10806;6299;18712;26025;10068;27390;11532;;;;;7646;2685;8774;3989;2783;2224;1142;1583;;;1958;1943;;1381;336;1346;;2909;908;1983;;;225;380;;;;462;;;785;332;;;;99;;;;;;;;181;;;;80;;;;69;;;;;;;27;14;;;;;;;213;37;;;;8;;;;;;;202;;;;5295;;;;28;;;;86;;;0;;614;
147;Siegen-Wittgenstein;05;Christlich Demokratische Union Deutschlands;202346;207672;202346;207672;168209;162162;168209;162162;1419;1336;998;1164;166790;160826;167211;160998;40825;48897;33313;50327;56827;54042;52767;42161;12486;16624;14338;17842;5300;13586;6628;18597;34137;14424;33905;14709;;;;;10725;4900;12099;5726;2340;1868;1297;1340;;;1915;2099;;2215;418;2107;2190;3385;1004;2043;;;244;886;;;;485;1290;836;925;679;;;;358;;;;;;;;182;;;;156;;;;467;;;;;;;26;24;;;;;;;224;51;;;;7;;;;;;;245;;;;7472;;;;45;;670;;346;;;49;;752;
148;Olpe – Märkischer Kreis I;05;Christlich Demokratische Union Deutschlands;198265;203350;198265;203350;163342;154830;163342;154830;1410;1446;1035;1159;161932;153384;162307;153671;33640;45366;26688;42362;68241;56879;63117;50364;10191;13645;11717;15243;5650;15944;6416;19227;32358;13104;33289;13100;;;;;8231;3935;8900;4150;2102;2269;998;1251;;;1897;1899;;2021;411;1676;;;708;1213;;;253;691;;;;511;;;591;278;;;;265;;;;;;;;190;;;;87;;;;326;;;;;;;33;26;;;;;;;250;46;;;;12;;;;;;;243;;;;6617;;;;46;;;;133;;1519;221;;754;
149;Märkischer Kreis II;05;Christlich Demokratische Union Deutschlands;191152;195816;191152;195816;153121;143689;153121;143689;1324;1229;975;1081;151797;142460;152146;142608;34522;43346;27788;42230;58968;47937;51785;40368;9878;12866;11435;14880;4577;12749;6027;17125;31657;12933;32474;13082;;;;;9917;4668;10286;4804;;2004;649;1228;;4382;2350;2994;;1575;418;1496;;;701;1300;;;328;925;;;;540;;;546;215;;;;85;;;;;;;;245;;;;111;;;;105;;;;;;;37;52;;;;;;;229;46;;;;13;;;;;1317;;382;;;;6553;;;;55;;;;103;;961;0;;764;
05;Nordrhein-Westfalen;99;;12883912;13040267;12883912;13040267;10588884;9960984;10588884;9960984;99150;92465;63307;72954;10489734;9868519;10525577;9888030;2633518;3068628;2108383;2880226;3566697;2973458;3170708;2566719;1230334;1500696;1300915;1587067;349391;851337;462644;1130154;1720361;705020;1769822;717510;;;;;714177;317869;877058;366947;113887;97782;52887;64990;;11068;133453;136195;;111606;22207;99217;33513;170191;59076;108504;5064;;20027;65137;;6629;;36789;79736;24138;68917;36039;;1394;;8052;;;;;;;;11673;;488;;7685;;1405;;10128;;;;;7436;5894;4068;3476;;;;;1282;;17970;3228;;;;971;;;;;16085;;14596;;6481;;431616;;;;4427;;2844;;6803;;8928;20916;;47323;
;
150;Nordsachsen;14;Alternative für Deutschland;158368;161279;158368;161279;126905;119206;126905;119206;1183;1541;849;1449;125722;117665;126056;117757;12555;22257;10562;24732;31395;26883;26170;23000;3090;5883;4308;5462;2684;10251;4012;12476;55022;32702;53909;32066;;;;;10501;9446;10081;8868;7092;4707;2754;3346;;;1486;2311;;1716;;1363;1523;2069;666;1333;;;;196;;;173;404;907;;483;170;;416;;240;;;;;;;;598;;;104;137;;;;88;;;;;;;52;76;;;;;;;;;;;;;;;;;953;;350;;;;10946;;;;;;;;;;;1335;;891;
151;Leipzig I;14;–;225020;224100;225020;224100;183932;167696;183932;167696;979;1569;939;1277;182953;166127;182993;166419;21470;33588;18454;34748;39285;34107;31902;24953;13796;19778;19746;25848;3828;13397;5826;17660;45728;26450;46287;25891;;;;;39376;25436;38513;20884;2185;3296;1675;2645;;;2429;3800;;2275;;2204;2279;4242;1416;3021;;;;656;;;340;833;1808;;1550;660;;497;;306;;;;;;;;693;;896;200;427;;;;160;;;;;290;283;141;153;;;;;;;;;;;;;;;;;382;;309;;11726;;14205;;;;;;;;;;800;1882;;877;
152;Leipzig II;14;Die Linke;232750;231178;232750;231178;195980;180880;195980;180880;823;1421;750;1043;195157;179459;195230;179837;16610;29731;21930;37634;31272;29538;30752;23561;19954;32995;31717;38264;3987;13271;6129;17439;36547;20667;36424;20213;;;;;71809;40938;46692;26472;2005;2591;1482;2188;;;1989;3489;;2786;;2564;2059;4374;1465;3307;;;;589;;923;296;881;;;1847;717;;635;;383;;;;;;;;438;407;573;255;402;;;;192;;;;;;273;96;197;;;;;;;;;;;;;;;;;394;;337;;10113;;13819;;;;;;;;;;;164;;907;
